Keyword,Course URL,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,ค่ามัธยฐานเงินเดือน,อัตราการได้งานทำ,สาขาวิชา
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10230125300501A,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน   32,700  ต่อภาคเรียน",,,รับ80คน,รับ50คน,รับ10คน,รับ5คน,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10240113300501A,วศ.บ. วิศวกรรมคอมพิวเตอร์ (จัดการเรียนการสอนเป็นภาษาอังกฤษ),Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าธรรมเนียมการศึกษา 28,000 ต่อภาคการศึกษา หรือ 224,000 บาท ตลอดหลักสูตร",,,รับ217คน,รับ80คน,รับ70คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10250105300501A,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"112,000",อัตราการจบการศึกษา ร้อยละ 80 ของนักศึกษาปีการศึกษา 2568,,รับ10คน,รับ27คน,รับ20คน,รับ5คน,,ร้อยละ 90 ของผู้จบการศึกษา,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10260106300502A,วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน โดยประมาณ 72,200 บาท ตลอดหลักสูตร",,,รับ30คน,รับ30คน,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,,,วิศวกรรมคอมพิวเตอร์
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10270102300501A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,https://admission.up.ac.th/uploads/admission/media/file/66ed2582eb5b7LIYYa.pdf,,,รับ60คน,รับ20คน,รับ20คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10280104300501A,วศ.บ. วิศวกรรมคอมพิวเตอร์,B.Eng.(Computer Engineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 10,150 ต่อภาคเรียน",,,รับ10คน,รับ10คน,รับ10คน,รับ20คน,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10340101300501A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering  (B. Eng. (Computer Engineering)),ภาษาไทย ปกติ,วิทยาเขตหลักหัวหมาก,"เทอมแรก 33,000 บาท เทอมต่อไปเทอมละ 26,000 บาท (เหมาจ่ายรายเทอม ลงทะเบียนได้ไม่เกิน 22 - 24 หน่วยกิต) หลักสูตร 4 ปี",90% - 96%,,รับ20คน,รับ20คน,รับ80คน,ไม่เปิดรับสมัครในรอบนี้,"ประมาณ 25,000.-",0.98%,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10340101300506E,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering (International Program) (B. Eng. (Computer Engineering)),นานาชาติ,วิทยาเขตหลัก,"ตลอดหลักสูตร 403,260 บาท (63,260 บาทในภาคการศึกษาแรก)",,,ไม่เปิดรับสมัครในรอบนี้,ไม่เปิดรับสมัครในรอบนี้,รับ50คน,รับ30คน,"ประมาณ 35,000.-",,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10350103300501A,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 31,500 ต่อภาคเรียน หรือ 252,000 บาท ตลอดหลักสูตร",,,รับ30คน,รับ20คน,รับ21คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/21520106300501A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าบำรุงการศึกษา 12,000 บาท ต่อภาคการศึกษา",,,รับ60คน,รับ30คน,รับ20คน,ไม่เปิดรับสมัครในรอบนี้,,,
